Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
       603;1981-2010;        42;       2.1;       2.5;         6;       9.4;      13.7;      16.4;      18.5;        18;      14.3;      10.3;       5.9;       2.8;        10;
       606;1981-2010;        46;       -.8;        .1;       3.9;       7.9;      12.8;      15.9;        18;      17.2;      13.1;       8.8;       3.3;        .2;       8.4;
       614;1981-2010;        51;        .6;         1;       4.6;       8.4;        13;      15.6;      17.7;      17.5;      13.6;       9.5;       4.7;       1.7;         9;
       617;1981-2010;        42;       2.6;         3;       6.1;       9.6;      13.8;      16.4;      18.6;      17.9;      14.4;      10.6;       6.4;       3.3;      10.2;
       619;1981-2010;        51;       2.7;       2.7;         5;       8.2;      12.2;      14.9;      17.3;      17.8;      14.9;        11;       6.6;       3.6;       9.8;
       642;1981-2010;        46;         2;       2.3;       4.9;       8.6;      12.8;      15.4;      17.8;      17.5;      14.1;      10.1;       5.8;       2.7;       9.5;
       643;1981-2010;        46;         2;       2.3;         5;       8.6;      12.8;      15.4;      17.8;      17.4;      14.1;      10.1;       5.8;       2.7;       9.5;
       645;1981-2010;        46;       1.9;       2.2;       5.1;       8.8;      13.1;      15.6;      17.8;      17.4;      13.8;       9.9;       5.6;       2.5;       9.5;
       648;1981-2010;        51;       1.2;       1.5;         4;       7.7;      12.2;      14.8;      17.1;      16.8;      13.4;       9.4;       4.9;       2.2;       8.8;
       650;1981-2010;        46;        .7;       1.3;       4.7;       9.1;      14.1;      16.7;      19.1;      18.4;      14.2;       9.6;       4.8;       1.5;       9.5;
       652;1981-2010;        46;       -.5;        .3;       4.1;       8.2;      13.1;        16;      18.1;      17.5;      13.3;       8.7;       3.7;        .6;       8.6;
       656;1981-2010;        51;      -2.1;      -1.8;       1.1;       5.3;      10.3;      12.4;      14.8;      14.4;      10.5;       6.3;       1.9;      -1.4;         6;
       660;1981-2010;        46;       1.3;       1.7;       4.9;       9.1;      13.6;      16.1;      18.5;        18;      14.2;       9.9;       5.3;         2;       9.5;
       661;1981-2010;        46;       1.4;       1.7;         5;       9.1;      13.6;      16.2;      18.5;      18.1;      14.2;       9.9;       5.3;       2.1;       9.6;
       662;1981-2010;        51;       1.3;       1.7;       4.9;         9;      13.4;        16;      18.3;        18;      14.2;       9.9;       5.3;         2;       9.6;
       685;1981-2010;        46;      -1.1;       -.6;         3;       6.9;      11.4;      14.4;      16.5;        16;      12.2;       7.9;         3;       -.1;       7.5;
       691;1981-2010;        51;       1.8;       2.1;       4.9;       8.8;        13;      15.5;        18;      17.5;      13.9;       9.7;       5.5;       2.4;       9.5;
       699;1981-2010;        46;       1.8;       2.1;       4.9;       8.8;        13;      15.6;        18;      17.5;      13.9;       9.7;       5.5;       2.4;       9.4;
       701;1981-2010;        51;         2;       2.3;       5.1;       8.9;      13.1;      15.6;      18.1;      17.9;      14.5;      10.3;       5.9;       2.7;       9.7;
       702;1981-2010;        46;         2;       2.3;       4.9;       8.7;      12.9;      15.5;      17.9;      17.7;      14.4;      10.3;       5.9;       2.7;       9.6;
       703;1981-2010;        46;       1.7;       1.9;       4.6;       8.4;      12.8;      15.4;      17.7;      17.2;      13.7;       9.7;       5.4;       2.3;       9.2;
       704;1981-2010;        42;       1.7;       1.8;       4.5;       8.4;      12.7;      15.3;      17.6;      17.2;      13.7;       9.7;       5.3;       2.3;       9.2;
       705;1981-2010;        46;       1.7;         2;       4.6;       8.4;      12.8;      15.4;      17.7;      17.2;      13.7;       9.7;       5.4;       2.3;       9.2;
       706;1981-2010;        46;       1.9;       2.7;       6.6;      10.2;      14.8;        18;        20;      19.4;      15.2;      10.8;       5.6;       2.9;      10.7;
       710;1981-2010;        46;       1.3;         2;       5.8;       9.6;      14.1;      17.2;      19.3;      18.6;      14.5;        10;       5.2;       2.2;        10;
       717;1981-2010;        46;        .2;        .4;       3.4;         7;      11.4;        14;      16.2;      15.8;      12.3;       8.5;       4.1;         1;       7.8;
       722;1981-2010;        51;      -3.5;      -3.7;      -1.6;       2.1;       6.7;       9.1;      11.6;      11.5;         8;       4.3;         0;      -2.5;       3.5;
       727;1981-2010;        46;        .7;       1.4;       5.1;       8.9;      13.4;      16.4;      18.4;      17.9;      13.9;       9.4;       4.6;       1.6;       9.3;
       729;1981-2010;        46;      -1.6;        -1;       2.4;       6.5;      11.2;        14;      16.2;      15.7;      11.8;       7.5;       2.7;       -.6;       7.1;
       736;1981-2010;        46;        .3;        .9;       4.3;       7.8;      12.2;      15.3;      17.3;      16.6;      12.7;       8.7;       4.1;       1.2;       8.4;
       755;1981-2010;        51;       -.2;        .5;       4.2;       8.2;      12.8;      15.9;      18.1;      17.5;      13.2;       8.6;       3.8;        .9;       8.6;
       757;1981-2010;        42;         1;       1.6;       5.1;       8.7;      13.2;      16.3;      18.3;      17.8;        14;       9.9;       4.7;       2.1;       9.4;
       760;1981-2010;        46;        .9;       1.2;         4;       7.9;      12.3;      14.9;      17.3;      16.7;      13.1;         9;       4.7;       1.6;       8.6;
       766;1981-2010;        42;        .1;        .6;         4;       7.6;      11.9;      14.8;      16.9;      16.4;      12.7;       8.6;       3.8;        .9;       8.2;
       769;1981-2010;        51;       2.2;       2.4;       5.4;       9.2;      13.6;      16.2;      18.6;      18.2;      14.5;      10.3;         6;       2.9;       9.9;
       771;1981-2010;        46;       1.1;       1.8;       5.6;       9.5;      14.2;        17;      19.1;      18.3;      14.3;       9.7;       5.2;         2;       9.8;
       772;1981-2010;        46;       2.1;         3;       6.9;      10.4;      15.1;      17.9;        20;      19.5;      15.4;      10.9;       5.8;       2.9;      10.8;
       773;1981-2010;        46;        .6;       1.4;         5;       8.4;        13;      15.8;        18;      17.7;      13.7;       9.5;       4.4;       1.6;       9.1;
       793;1981-2010;        46;       -.1;        .4;       3.8;       7.3;      11.6;      14.6;      16.8;      16.1;      12.3;       8.4;       3.7;        .8;         8;
       817;1981-2010;        51;       -.1;        .3;         4;       7.7;      12.4;      15.3;      17.4;      16.8;      12.6;       8.4;         4;        .8;       8.4;
       840;1981-2010;        42;      -3.1;      -2.7;        .3;       4.5;       9.4;      12.1;      14.2;        14;      10.3;       6.1;         1;      -2.1;       5.3;
       848;1981-2010;        46;       1.4;       1.8;       4.9;       9.2;      13.9;      16.4;      18.8;      18.1;      14.1;       9.7;       5.3;       2.1;       9.6;
       850;1981-2010;        51;       1.3;       1.7;       4.9;       8.9;      14.1;      16.4;      18.8;      18.2;      14.1;       9.7;       5.4;       2.3;       9.6;
       851;1981-2010;        46;      -1.3;       -.3;       3.8;       8.3;      13.4;      16.1;      18.2;      17.5;      13.2;       8.5;       3.2;       -.2;       8.4;
       853;1981-2010;        51;       -.3;        .2;       3.6;         8;      12.8;      15.3;      17.7;      17.5;      13.5;       9.1;       3.9;        .6;       8.5;
       856;1981-2010;        42;       -.8;        .1;       3.9;       8.1;      13.2;      15.9;        18;      17.4;      13.4;       9.1;       3.5;        .1;       8.5;
       863;1981-2010;        51;      -1.4;      -1.1;       1.7;       5.9;      10.7;      13.1;      15.3;      14.9;      11.4;       7.3;       2.7;       -.5;       6.7;
       865;1981-2010;        46;       1.9;       2.1;       4.9;       8.7;      12.9;      15.5;      17.7;      17.4;      13.8;       9.8;       5.6;       2.5;       9.4;
       867;1981-2010;        51;       -.6;        .2;       4.1;       8.4;      13.3;        16;      18.1;      17.6;      13.5;       8.9;       3.7;        .5;       8.7;
       876;1981-2010;        46;         0;        .6;         4;       8.2;      13.1;      15.9;      18.3;      17.9;      13.8;       9.2;       4.2;        .8;       8.8;
       879;1981-2010;        46;        .3;       1.2;       4.7;       9.3;      14.4;      17.1;      19.4;      18.7;      14.3;       9.7;       4.6;       1.2;       9.6;
       880;1981-2010;        51;        .3;       1.1;       4.7;       9.3;      14.4;      17.1;      19.4;      18.7;      14.3;       9.7;       4.6;       1.2;       9.6;
       881;1981-2010;        46;       -.3;        .4;       4.2;       8.3;      13.2;      16.2;      18.2;      17.7;      13.4;       8.9;       3.8;        .8;       8.7;
       888;1981-2010;        46;         0;        .6;       4.2;       8.4;      13.2;        16;      18.2;      17.9;      13.7;       9.2;       4.3;        .8;       8.9;
       891;1981-2010;        51;       2.2;       2.4;       4.7;       8.3;      12.4;      15.2;      17.7;      17.7;      14.7;      10.6;       6.2;         3;       9.6;
       896;1981-2010;        42;        .4;         1;       4.7;       8.7;      13.5;      16.3;      18.6;      18.2;      13.9;       9.4;       4.8;       1.3;       9.2;
       917;1981-2010;        42;       1.4;       2.1;         6;       9.8;      14.3;      17.3;      19.5;      18.7;      14.6;        10;       5.3;       2.3;      10.1;
       918;1981-2010;        46;       1.6;       2.4;       6.3;      10.2;      14.7;      17.7;      19.8;      19.2;      14.9;      10.3;       5.5;       2.4;      10.4;
